date,close
2011-04-18,1000
2011-04-19,981.1004
2011-04-20,984.0403
2011-04-21,980.6804
2011-04-22,978.5804
2011-04-25,978.1604
2011-04-26,975.2205
2011-04-27,974.3805
2011-04-28,981.5204
2011-04-29,978.1604
2011-05-03,984.4603
2011-05-04,978.1604
2011-05-05,969.3406
2011-05-06,953.8009
2011-05-09,957.5809
2011-05-10,960.5208
2011-05-11,971.8606
2011-05-12,984.4603
2011-05-13,1015.9597
2011-05-16,1010.9198
2011-05-17,1004.1999
2011-05-18,996.2201
2011-05-19,994.1201
2011-05-20,997.9
2011-05-23,989.9202
2011-05-24,999.58
2011-05-25,997.4801
2011-05-26,998.74
2011-05-27,995.8001
2011-05-30,993.2801
2011-05-31,992.8601
2011-06-01,990.7602
2011-06-02,982.3604
2011-06-03,976.9005
2011-06-07,979.0004
2011-06-08,976.9005
2011-06-09,973.5405
2011-06-10,970.6006
2011-06-13,974.3805
2011-06-14,980.2604
2011-06-15,975.6405
2011-06-16,968.9206
2011-06-17,968.9206
2011-06-20,958.0008
2011-06-21,963.8807
2011-06-22,960.9408
2011-06-23,973.5405
2011-06-24,966.8207
2011-06-27,969.3406
2011-06-28,967.2407
2011-06-29,964.3007
2011-06-30,969.7606
2011-07-01,964.3007
2011-07-04,972.7006
2011-07-05,972.2806
2011-07-06,983.6203
2011-07-07,970.6006
2011-07-08,968.9206
2011-07-11,967.6607
2011-07-12,964.7207
2011-07-13,970.1806
2011-07-14,968.0806
2011-07-15,967.2407
2011-07-18,968.0806
2011-07-19,968.0806
2011-07-20,965.1407
2011-07-21,960.1008
2011-07-22,960.1008
2011-07-25,960.1008
2011-07-26,961.3608
2011-07-27,959.2608
2011-07-28,959.6808
2011-07-29,959.6808
2011-08-01,959.6808
2011-08-02,959.3569
2011-08-03,960.8166
2011-08-04,970.1551
2011-08-05,962.8614
2011-08-08,955.1747
2011-08-09,946.2743
2011-08-10,948.2971
2011-08-11,954.7701
2011-08-12,956.7929
2011-08-15,951.9382
2011-08-16,940.2058
2011-08-17,934.5419
2011-08-18,923.2141
2011-08-19,911.8864
2011-08-22,907.0316
2011-08-23,871.8346
2011-08-24,884.7806
2011-08-25,896.1084
2011-08-26,895.2993
2011-08-29,893.681
2011-08-30,895.2993
2011-08-31,907.0316
2011-09-01,905.4134
2011-09-02,896.1084
2011-09-05,897.3221
2011-09-06,907.4362
2011-09-07,909.8636
2011-09-08,905.4134
2011-09-09,907.4362
2011-09-13,902.986
2011-09-14,898.9403
2011-09-15,902.1768
2011-09-16,907.4362
2011-09-19,898.1312
2011-09-20,895.2993
2011-09-21,903.3905
2011-09-22,885.9943
2011-09-23,866.1707
2011-09-26,838.6604
2011-09-27,852.011
2011-09-28,844.3242
2011-09-29,818.0276
2011-09-30,824.5006
2011-10-10,827.7371
2011-10-11,830.9736
2011-10-12,834.6147
2011-10-13,833.8056
2011-10-14,832.1873
2011-10-17,815.6002
2011-10-18,803.8679
2011-10-19,801.8451
2011-10-20,764.6252
2011-10-21,776.3576
2011-10-24,793.3492
2011-10-25,796.1812
2011-10-26,796.1812
2011-10-27,797.7994
2011-10-28,801.0359
2011-10-31,792.9447
2011-11-01,790.9219
2011-11-02,787.6853
2011-11-03,782.8306
2011-11-04,795.7766
2011-11-07,793.7538
2011-11-08,800.2268
2011-11-09,800.6314
2011-11-10,787.2808
2011-11-11,824.9052
2011-11-14,820.8596
2011-11-15,824.5006
2011-11-16,815.1957
2011-11-17,818.4322
2011-11-18,812.7683
2011-11-21,806.2953
2011-11-22,805.0816
2011-11-23,798.204
