date,close
2009-01-05,680.0891
2009-01-06,688.05
2009-01-07,692.3148
2009-01-08,667.2948
2009-01-09,685.2069
2009-01-12,675.54
2009-01-13,664.4516
2009-01-14,684.3539
2009-01-15,680.0891
2009-01-16,687.7657
2009-01-19,692.8834
2009-01-20,664.629
2009-01-21,655.1034
2009-01-22,653.1588
2009-01-23,667.7199
2009-02-02,656.8113
2009-02-03,674.8966
2009-02-04,671.4518
2009-02-05,672.6
2009-02-06,679.2026
2009-02-09,701.3068
2009-02-10,692.9818
2009-02-11,675.1836
2009-02-12,692.6948
2009-02-13,689.8827
2009-02-16,684.0859
2009-02-17,695.453
2009-02-18,688.1031
2009-02-19,687.5285
2009-02-20,665.4058
2009-02-23,665.4058
2009-02-24,658.5104
2009-02-25,675.7489
2009-02-26,673.4504
2009-02-27,669.4281
2009-03-02,670.8646
2009-03-03,670.8646
2009-03-04,674.025
2009-03-05,676.3235
2009-03-06,674.5997
2009-03-09,663.9693
2009-03-10,670.29
2009-03-11,670.29
2009-03-12,675.6449
2009-03-13,682.9623
2009-03-16,689.7265
2009-03-17,689.0304
2009-03-18,696.8636
2009-03-19,716.5916
2009-03-20,727.6161
2009-03-23,751.986
2009-03-24,738.0603
2009-03-25,740.0912
2009-03-26,756.0477
2009-03-27,743.8627
2009-03-30,737.7702
2009-03-31,741.5418
2009-04-01,733.7086
2009-04-02,731.9679
2009-04-03,738.6406
2009-04-07,761.2698
2009-04-08,746.1837
2009-04-09,763.2596
2009-04-10,780.1294
2009-04-13,770.638
2009-04-14,756.4879
2009-04-15,747.4088
2009-04-16,750.3375
2009-04-17,754.7306
2009-04-20,756.4879
2009-04-21,733.6439
2009-04-22,742.7229
2009-04-23,755.0235
2009-04-24,746.2373
2009-04-27,734.5225
2009-04-28,721.0504
2009-04-29,729.8365
2009-04-30,736.2797
2009-05-04,754.1449
2009-05-05,742.43
2009-05-06,749.1661
2009-05-07,750.5135
2009-05-08,755.9532
2009-05-11,744.4963
2009-05-12,751.7407
2009-05-13,753.2004
2009-05-14,745.0261
2009-05-15,744.4423
2009-05-18,741.8148
2009-05-19,751.7407
2009-05-20,743.2745
2009-05-21,745.3181
2009-05-22,739.7713
2009-05-25,741.2309
2009-05-26,738.0196
2009-05-27,740.6471
2009-06-01,748.8213
2009-06-02,749.9891
2009-06-03,763.4182
2009-06-04,759.6231
2009-06-05,784.2081
2009-06-08,776.9081
2009-06-09,783.6809
2009-06-10,789.5188
2009-06-11,785.4325
2009-06-12,785.7244
2009-06-15,775.5088
2009-06-16,778.4276
2009-06-17,783.3894
2009-06-18,784.265
2009-06-19,784.5569
2009-06-22,782.5138
2009-06-23,775.8007
2009-06-24,783.9732
2009-06-25,783.0976
2009-06-26,789.5188
2009-06-29,783.3894
2009-06-30,784.265
2009-07-01,783.3894
2009-07-02,786.0163
2009-07-03,787.4757
2009-07-06,782.2219
2009-07-07,786.8919
2009-07-08,784.3227
2009-07-09,781.6359
2009-07-10,782.1035
2009-07-13,777.2512
2009-07-14,780.1765
2009-07-15,789.245
2009-07-16,790.7076
2009-07-17,798.3134
2009-07-20,815.8651
2009-07-21,809.4295
2009-07-22,808.2594
2009-07-23,812.9399
2009-07-24,829.9066
2009-07-27,867.0578
2009-07-28,861.4998
2009-07-29,831.3876
2009-07-30,853.1823
2009-07-31,883.0146
2009-08-03,873.3936
2009-08-04,877.7664
2009-08-05,886.8035
2009-08-06,894.966
2009-08-07,872.2275
2009-08-10,892.0508
2009-08-11,883.8883
2009-08-12,868.7292
2009-08-13,889.7187
2009-08-14,889.7187
2009-08-17,849.4889
2009-08-18,879.224
2009-08-19,865.231
2009-08-20,872.519
2009-08-21,863.4819
2009-08-24,884.4713
2009-08-25,873.3936
2009-08-26,876.3088
2009-08-27,870.9452
2009-08-28,876.4258
2009-08-31,868.7302
2009-09-01,871.8196
2009-09-02,861.3298
2009-09-03,869.1971
2009-09-04,876.4817
2009-09-07,873.5679
2009-09-08,882.018
2009-09-09,880.8525
2009-09-10,881.1439
2009-09-11,872.111
2009-09-14,862.4953
2009-09-15,865.9919
2009-09-16,869.1971
2009-09-17,874.7334
2009-09-18,870.3627
2009-09-21,872.6937
2009-09-22,869.7799
2009-09-23,866.8661
2009-09-24,866.8661
2009-09-25,859.2901
2009-09-28,846.7606
2009-09-29,856.959
2009-09-30,864.535
2009-10-09,865.1178
2009-10-12,868.0316
2009-10-13,869.7799
2009-10-14,871.8196
2009-10-15,868.323
2009-10-16,869.7799
2009-10-19,872.4024
2009-10-20,874.442
2009-10-21,871.5282
2009-10-22,870.6541
2009-10-23,876.3025
2009-10-26,883.8622
2009-10-27,881.8922
2009-10-28,885.6616
2009-10-29,875.8145
2009-10-30,882.4758
